rank	espn_name	canonical_abbrev	overall_sp_plus	off_component_unused	def_component_unused	st_component_unused
101	Arkansas St.	ARST	-8.5	23.7 (88)	32.3 (111)	0.1 (62)
102	Temple	TEM	-8.7	25.2 (74)	34.3 (117)	0.3 (38)
103	Ga. Southern	GASO	-8.9	23.2 (92)	32.1 (109)	0.0 (72)
104	Louisiana	ULL	-9.1	25.2 (72)	33.9 (116)	-0.5 (115)
105	Kennesaw St.	KENN	-9.3	21.3 (101)	30.1 (97)	-0.5 (127)
106	Wyoming	WYO	-9.6	16.0 (124)	25.0 (58)	-0.6 (130)
107	UConn	CONN	-11.2	20.3 (107)	32.1 (108)	0.6 (15)
108	Toledo	TOL	-11.5	16.7 (121)	27.9 (84)	-0.4 (108)
109	North Texas	UNT	-11.8	23.6 (89)	35.2 (123)	-0.2 (90)
110	Buffalo	BUFF	-11.9	15.7 (126)	28.1 (85)	0.6 (12)
111	App. St.	APP	-12.1	21.2 (102)	33.6 (115)	0.3 (40)
112	Nevada	NEV	-12.2	17.4 (117)	30.0 (96)	0.4 (37)
113	CMU	CMU	-12.4	17.4 (116)	29.6 (92)	-0.2 (86)
114	Delaware	DEL	-13.0	22.7 (96)	35.4 (126)	-0.3 (98)
115	BGSU	BGSU	-13.3	14.8 (128)	28.3 (88)	0.3 (43)
116	S. Alabama	USA	-13.3	22.7 (95)	35.4 (125)	-0.7 (136)
117	Ohio	OHIO	-13.6	13.3 (134)	26.2 (72)	-0.6 (132)
118	FIU	FIU	-13.7	21.5 (100)	35.0 (122)	-0.3 (92)
119	Coastal Caro.	CCU	-13.8	21.1 (103)	34.4 (118)	-0.5 (112)
120	Rice	RICE	-14.7	17.0 (119)	32.2 (110)	0.5 (25)
121	EMU	EMU	-15.0	17.8 (115)	32.8 (112)	0.0 (73)
122	SJSU	SJSU	-15.5	18.6 (114)	33.6 (114)	-0.5 (120)
123	NMSU	NMSU	-16.4	17.0 (118)	33.4 (113)	-0.1 (80)
124	UAB	UAB	-18.1	20.3 (108)	37.9 (132)	-0.5 (123)
125	NIU	NIU	-18.2	13.8 (132)	31.8 (105)	-0.2 (85)
126	Missouri St.	MOST	-18.7	16.7 (122)	34.9 (121)	-0.5 (122)
127	Akron	AKR	-19.5	13.0 (135)	31.9 (106)	-0.6 (131)
128	Kent St.	KENT	-20.1	15.9 (125)	35.5 (127)	-0.5 (121)
129	UTEP	UTEP	-20.5	14.7 (129)	34.7 (119)	-0.5 (114)
130	Sac State	SAC	-22.7	15.1 (127)	37.9 (131)	0.0 (76)
131	So. Miss	USM	-23.3	16.4 (123)	39.2 (133)	-0.4 (110)
132	UL-Monroe	ULM	-24.3	14.3 (130)	37.9 (130)	-0.7 (138)
133	Georgia St.	GAST	-25.1	17.0 (120)	41.4 (137)	-0.7 (133)
134	Ball State	BALL	-25.2	12.2 (136)	36.7 (128)	-0.7 (135)
135	MTSU	MTSU	-26.0	13.7 (133)	39.9 (134)	0.2 (57)
136	Sam Houston	SHSU	-26.3	14.1 (131)	40.0 (135)	-0.4 (107)
137	UMass	MASS	-30.9	9.6 (138)	40.1 (136)	-0.5 (124)
138	Charlotte	CLT	-32.4	10.4 (137)	42.3 (138)	-0.5 (111)
