cell,change
QB VALUES!F73,Active value = 0
QB VALUES!D77,Baseline value = 0
QB VALUES!F77,Active value = 0
QB VALUES!D78,Baseline value = 0
QB VALUES!F78,Active value = 0
QB VALUES!D79,Baseline value = 0
QB VALUES!F79,Active value = 0
QB VALUES!D80,Baseline value = 0
QB VALUES!F80,Active value = 0
QB VALUES!D128,Baseline value = 0
QB VALUES!F128,Active value = 0
QB VALUES!D132,Baseline value = 0
QB VALUES!F132,Active value = 0
QB VALUES!D133,Baseline value = 0
QB VALUES!F133,Active value = 0
QB VALUES!D134,Baseline value = 0
QB VALUES!F134,Active value = 0
QB VALUES!D135,Baseline value = 0
QB VALUES!F135,Active value = 0
QB VALUES!D136,Baseline value = 0
QB VALUES!F136,Active value = 0
QB VALUES!D137,Baseline value = 0
QB VALUES!F137,Active value = 0
QB VALUES!D138,Baseline value = 0
QB VALUES!F138,Active value = 0
QB VALUES!D140,Baseline value = 0
QB VALUES!F140,Active value = 0
QB VALUES!D141,Baseline value = 0
QB VALUES!F141,Active value = 0
QB VALUES!D142,Baseline value = 0
QB VALUES!F142,Active value = 0
QB VALUES!D143,Baseline value = 0
QB VALUES!F143,Active value = 0
START HERE!A1,Banner -> v0.7.1
CHANGELOG!A61,CHANGELOG v0.7.1 entry
CHANGELOG!B61,CHANGELOG v0.7.1 entry
CHANGELOG!C61,CHANGELOG v0.7.1 entry
CHANGELOG!D61,CHANGELOG v0.7.1 entry
CHANGELOG!A62,CHANGELOG v0.7.1 entry
CHANGELOG!B62,CHANGELOG v0.7.1 entry
CHANGELOG!C62,CHANGELOG v0.7.1 entry
CHANGELOG!D62,CHANGELOG v0.7.1 entry
CHANGELOG!A63,CHANGELOG v0.7.1 entry
CHANGELOG!B63,CHANGELOG v0.7.1 entry
CHANGELOG!C63,CHANGELOG v0.7.1 entry
CHANGELOG!D63,CHANGELOG v0.7.1 entry
