Abbrev	Canonical Name	ESPN Full Display Name	ESPN Conference String
TOL	Toledo	Toledo Rockets	Mid-American Conference
MASS	UMass	Massachusetts Minutemen	Mid-American Conference
WMU	Western Michigan	Western Michigan Broncos	Mid-American Conference
AFA	Air Force	Air Force Falcons	Mountain West Conference
HAW	Hawai'i	Hawai'i Rainbow Warriors	Mountain West Conference
NEV	Nevada	Nevada Wolf Pack	Mountain West Conference
UNM	New Mexico	New Mexico Lobos	Mountain West Conference
NDSU	North Dakota State	North Dakota State Bison	Mountain West Conference
NIU	Northern Illinois	Northern Illinois Huskies	Mountain West Conference
SJSU	San José State	San José State Spartans	Mountain West Conference
UNLV	UNLV	UNLV Rebels	Mountain West Conference
UTEP	UTEP	UTEP Miners	Mountain West Conference
WYO	Wyoming	Wyoming Cowboys	Mountain West Conference
APP	Appalachian State	App State Mountaineers	Sun Belt Conference
ARST	Arkansas State	Arkansas State Red Wolves	Sun Belt Conference
CCU	Coastal Carolina	Coastal Carolina Chanticleers	Sun Belt Conference
GASO	Georgia Southern	Georgia Southern Eagles	Sun Belt Conference
GAST	Georgia State	Georgia State Panthers	Sun Belt Conference
JMU	James Madison	James Madison Dukes	Sun Belt Conference
ULL	Louisiana	Louisiana Ragin' Cajuns	Sun Belt Conference
LT	Louisiana Tech	Louisiana Tech Bulldogs	Sun Belt Conference
MRSH	Marshall	Marshall Thundering Herd	Sun Belt Conference
ODU	Old Dominion	Old Dominion Monarchs	Sun Belt Conference
USA	South Alabama	South Alabama Jaguars	Sun Belt Conference
USM	Southern Miss	Southern Miss Golden Eagles	Sun Belt Conference
TROY	Troy	Troy Trojans	Sun Belt Conference
ULM	ULM	UL Monroe Warhawks	Sun Belt Conference
ND	Notre Dame	Notre Dame Fighting Irish	FBS Independents
CONN	UConn	UConn Huskies	FBS Independents
